merge_key,semantic,style_fit
dataset/rock/rock_415.jpg,5.0,4.0
dataset/gal/gal_478.jpg,4.0,3.0
dataset/dressy/dressy_247.jpg,4.0,5.0
dataset/feminine/feminine_759.png,4.0,4.0
dataset/retro/retro_774.jpg,3.0,4.0
dataset/mode/mode_151.jpg,,
dataset/kireime-casual/kireime-casual_253.jpg,5.0,5.0
dataset/natural/natural_401.jpg,4.0,3.0
dataset/rock/rock_682.jpg,4.0,3.0
dataset/ethnic/ethnic_228.jpg,4.0,3.0
dataset/lolita/lolita_804.jpg,4.0,3.0
dataset/street/street_711.jpg,4.0,5.0
dataset/retro/retro_494.jpg,5.0,4.0
dataset/girlish/girlish_754.jpg,2.0,2.0
dataset/feminine/feminine_455.jpg,2.0,4.0
dataset/dressy/dressy_721.jpg,5.0,5.0
dataset/natural/natural_558.jpg,4.0,5.0
dataset/gal/gal_673.jpg,5.0,5.0
dataset/girlish/girlish_1030.jpg,,
dataset/street/street_101.jpg,4.0,4.0
dataset/feminine/feminine_627.jpg,5.0,5.0
dataset/mode/mode_381.jpg,5.0,5.0
dataset/mode/mode_572.jpg,2.0,3.0
dataset/girlish/girlish_408.jpg,4.0,3.0
dataset/dressy/dressy_129.jpg,,
dataset/lolita/lolita_457.jpg,4.0,5.0
dataset/rock/rock_595.jpg,3.0,2.0
dataset/dressy/dressy_335.jpg,2.0,4.0
dataset/conservative/conservative_793.png,3.0,3.0
dataset/fairy/fairy_900.png,3.0,2.0
dataset/retro/retro_409.jpg,4.0,3.0
dataset/natural/natural_215.jpg,5.0,4.0
dataset/street/street_201.jpg,5.0,5.0
dataset/retro/retro_214.jpg,3.0,4.0
dataset/dressy/dressy_835.jpg,5.0,4.0
dataset/gal/gal_256.jpg,4.0,4.0
dataset/rock/rock_560.jpg,4.0,5.0
dataset/lolita/lolita_400.jpg,4.0,5.0
dataset/feminine/feminine_266.jpeg,5.0,5.0
dataset/dressy/dressy_313.jpg,5.0,5.0
dataset/fairy/fairy_792.jpg,4.0,5.0
dataset/dressy/dressy_363.jpg,4.0,5.0
dataset/rock/rock_638.jpg,4.0,4.0
dataset/girlish/girlish_411.jpg,3.0,2.0
dataset/lolita/lolita_767.jpg,5.0,5.0
dataset/lolita/lolita_223.jpg,5.0,5.0
dataset/dressy/dressy_551.jpg,4.0,5.0
dataset/girlish/girlish_497.jpg,5.0,5.0
dataset/fairy/fairy_460.jpg,4.0,3.0
dataset/natural/natural_333.jpg,4.0,5.0
